id,category_id,question,answer,difficulty,points,options
q_hist_1,history,متى كانت غزوة بدر؟,2 هجري,متوسط,10,1 هجري | 2 هجري | 3 هجري | 4 هجري
q_geo_1,geography,ما هي أكبر دولة عربية من حيث المساحة؟,الجزائر,سهل,5,السعودية | مصر | الجزائر | ليبيا
q_sci_1,science,ما هو العنصر الأكثر وفرة في الكون؟,الهيدروجين,متوسط,10,الأكسجين | الهيدروجين | الكربون | الهيليوم
q_sport_1,sports,كم مرة فازت البرازيل بكأس العالم؟,5 مرات,متوسط,10,3 مرات | 4 مرات | 5 مرات | 6 مرات
q_lit_1,literature,من هو شاعر النيل؟,حافظ إبراهيم,متوسط,10,أحمد شوقي | حافظ إبراهيم | نزار قباني | محمود درويش
q_history_6,history,متى فُتحت مكة المكرمة؟,8 هجري,متوسط,10,6 هجري | 7 هجري | 8 هجري | 9 هجري
q_history_7,history,من هو القائد المسلم الذي فتح الأندلس؟,طارق بن زياد,سهل,5,خالد بن الوليد | طارق بن زياد | عمرو بن العاص | سعد بن أبي وقاص
q_history_8,history,في أي عام سقطت الدولة العباسية؟,656 هجري,صعب,15,656 هجري | 750 هجري | 492 هجري | 923 هجري
q_history_9,history,ما هو اسم أول دولة إسلامية في التاريخ؟,دولة المدينة المنورة,متوسط,10,الدولة الأموية | دولة المدينة المنورة | الدولة العباسية | دولة الخلفاء الراشدين
q_history_10,history,كم استمرت الحرب العالمية الأولى؟,4 سنوات,سهل,5,3 سنوات | 4 سنوات | 5 سنوات | 6 سنوات
q_geography_11,geography,ما هي عاصمة الأردن؟,عمّان,سهل,5,عمّان | إربد | العقبة | الزرقاء
q_geography_12,geography,أين يقع أطول نهر في العالم؟,أفريقيا,متوسط,10,آسيا | أفريقيا | أمريكا الجنوبية | أوروبا
q_geography_13,geography,كم عدد الدول العربية؟,22 دولة,سهل,5,20 دولة | 21 دولة | 22 دولة | 23 دولة
q_geography_14,geography,ما هي أعمق نقطة في المحيطات؟,خندق ماريانا,صعب,15,خندق ماريانا | خندق بورتوريكو | خندق جاوة | خندق اليابان
q_geography_15,geography,أين تقع صحراء الربع الخالي؟,السعودية,متوسط,10,مصر | السعودية | ليبيا | الجزائر
q_science_16,science,كم عدد الكواكب في المجموعة الشمسية؟,8 كواكب,سهل,5,7 كواكب | 8 كواكب | 9 كواكب | 10 كواكب
q_science_17,science,ما هي وحدة قياس التيار الكهربائي؟,الأمبير,متوسط,10,الفولت | الأمبير | الأوم | الواط
q_science_18,science,من اكتشف البنسلين؟,ألكسندر فلمنغ,متوسط,10,لويس باستور | ألكسندر فلمنغ | روبرت كوخ | جوزيف ليستر
q_science_19,science,ما هو أسرع كائن حي على الأرض؟,الفهد,سهل,5,النمر | الأسد | الفهد | الغزال
q_science_20,science,كم عدد العظام في جسم الإنسان البالغ؟,206 عظمة,متوسط,10,186 عظمة | 196 عظمة | 206 عظمة | 216 عظمة
q_sports_21,sports,في أي عام أقيمت أول بطولة لكأس العالم؟,1930,متوسط,10,1928 | 1930 | 1932 | 1934
q_sports_22,sports,كم عدد اللاعبين في فريق كرة السلة؟,5 لاعبين,سهل,5,4 لاعبين | 5 لاعبين | 6 لاعبين | 7 لاعبين
q_sports_23,sports,من هو اللاعب الملقب بـ 'الظاهرة'؟,رونالدو البرازيلي,متوسط,10,بيليه | مارادونا | رونالدو البرازيلي | زيدان
q_sports_24,sports,كم مدة الشوط الواحد في كرة القدم؟,45 دقيقة,سهل,5,40 دقيقة | 45 دقيقة | 50 دقيقة | 60 دقيقة
q_sports_25,sports,أين أقيمت دورة الألعاب الأولمبية عام 2016؟,ريو دي جانيرو,متوسط,10,لندن | بكين | ريو دي جانيرو | طوكيو
q_literature_26,literature,من كتب رواية 'ألف ليلة وليلة'؟,مؤلف مجهول,متوسط,10,الجاحظ | المتنبي | مؤلف مجهول | ابن المقفع
q_literature_27,literature,من هو أمير الشعراء؟,أحمد شوقي,سهل,5,أحمد شوقي | حافظ إبراهيم | بدر شاكر السياب | نزار قباني
q_literature_28,literature,من مؤلف كتاب 'البخلاء'؟,الجاحظ,متوسط,10,الجاحظ | ابن خلدون | المعري | ابن رشد
q_literature_29,literature,ما هي أشهر قصيدة للمتنبي؟,واحر قلباه,صعب,15,واحر قلباه | أراك عصي الدمع | قفا نبك | لامية العرب
q_literature_30,literature,من كتب رواية 'موسم الهجرة إلى الشمال'؟,الطيب صالح,متوسط,10,نجيب محفوظ | الطيب صالح | غسان كنفاني | حنا مينه
q_religion_31,religion,كم عدد أركان الإسلام؟,5 أركان,سهل,5,3 أركان | 4 أركان | 5 أركان | 6 أركان
q_religion_32,religion,في أي شهر نزل القرآن الكريم؟,رمضان,سهل,5,رجب | شعبان | رمضان | شوال
q_religion_33,religion,كم عدد السور المكية في القرآن؟,86 سورة,صعب,15,82 سورة | 84 سورة | 86 سورة | 88 سورة
q_religion_34,religion,من هو خاتم الأنبياء؟,محمد صلى الله عليه وسلم,سهل,5,عيسى عليه السلام | موسى عليه السلام | إبراهيم عليه السلام | محمد صلى الله عليه وسلم
q_religion_35,religion,كم مرة ورد اسم محمد في القرآن؟,4 مرات,متوسط,10,3 مرات | 4 مرات | 5 مرات | 6 مرات
q_general_36,general,ما هي عملة اليابان؟,الين,متوسط,10,اليوان | الين | الوون | الروبية
q_general_37,general,كم لوناً في قوس قزح؟,7 ألوان,سهل,5,5 ألوان | 6 ألوان | 7 ألوان | 8 ألوان
q_general_38,general,ما هي أصغر دولة في العالم؟,الفاتيكان,متوسط,10,موناكو | الفاتيكان | سان مارينو | ليختنشتاين
q_general_39,general,من اخترع المصباح الكهربائي؟,توماس إديسون,سهل,5,ألكسندر بيل | توماس إديسون | نيكولا تسلا | بنجامين فرانكلين
q_general_40,general,كم يوماً في السنة الكبيسة؟,366 يوماً,سهل,5,364 يوماً | 365 يوماً | 366 يوماً | 367 يوماً
q_entertainment_41,entertainment,من أخرج فيلم 'الرسالة'؟,مصطفى العقاد,متوسط,10,يوسف شاهين | مصطفى العقاد | هنري بركات | صلاح أبو سيف
q_entertainment_42,entertainment,ما هو أول فيلم كرتوني طويل من إنتاج ديزني؟,سنو وايت والأقزام السبعة,متوسط,10,سندريلا | سنو وايت والأقزام السبعة | بينوكيو | بامبي
q_entertainment_43,entertainment,من غنى أغنية 'أم كلثوم' الشهيرة 'ألف ليلة وليلة'؟,أم كلثوم,سهل,5,فيروز | أم كلثوم | وردة | أسمهان
q_entertainment_44,entertainment,في أي عام صدر فيلم تايتانيك؟,1997,متوسط,10,1995 | 1996 | 1997 | 1998
q_entertainment_45,entertainment,من هو الملقب بـ 'موسيقار الأجيال'؟,محمد عبد الوهاب,متوسط,10,محمد عبد الوهاب | بليغ حمدي | سيد درويش | رياض السنباطي
q_technology_46,technology,من أسس شركة مايكروسوفت؟,بيل غيتس,سهل,5,ستيف جوبز | بيل غيتس | مارك زوكربيرغ | لاري بيج
q_technology_47,technology,ما هو نظام التشغيل الأكثر استخداماً في الهواتف الذكية؟,أندرويد,سهل,5,iOS | أندرويد | ويندوز | بلاك بيري
q_technology_48,technology,في أي عام أُطلق موقع فيسبوك؟,2004,متوسط,10,2002 | 2003 | 2004 | 2005
q_technology_49,technology,ما معنى HTML؟,لغة توصيف النص الفائق,صعب,15,لغة برمجة عالية | لغة توصيف النص الفائق | بروتوكول نقل النص | لغة الآلة المترجمة
q_technology_50,technology,من اخترع الهاتف؟,ألكسندر غراهام بيل,متوسط,10,توماس إديسون | ألكسندر غراهام بيل | نيكولا تسلا | غوليلمو ماركوني
q_arabic_culture_51,arabic_culture,ما هي أقدم جامعة في العالم العربي؟,جامعة القرويين,صعب,15,الأزهر | القرويين | الزيتونة | المستنصرية
q_arabic_culture_52,arabic_culture,كم عدد الحروف في اللغة العربية؟,28 حرفاً,سهل,5,26 حرفاً | 27 حرفاً | 28 حرفاً | 29 حرفاً
q_arabic_culture_53,arabic_culture,ما هو الطبق الشعبي الأشهر في السعودية؟,الكبسة,سهل,5,المنسف | الكبسة | المجبوس | البرياني
q_arabic_culture_54,arabic_culture,من صمم العلم السعودي الحالي؟,حافظ وهبة,صعب,15,حافظ وهبة | أحمد إبراهيم | محمد المانع | عبد العزيز التويجري
q_arabic_culture_55,arabic_culture,ما هي أشهر رقصة شعبية في الخليج؟,العرضة,متوسط,10,الدبكة | العرضة | التنورة | الخطوة
q_history_56,history,متى كانت معركة القادسية؟,15 هجري,متوسط,10,13 هجري | 14 هجري | 15 هجري | 16 هجري
q_history_57,history,من هو مؤسس الدولة الأموية؟,معاوية بن أبي سفيان,سهل,5,عمر بن عبد العزيز | معاوية بن أبي سفيان | عبد الملك بن مروان | يزيد بن معاوية
q_history_58,history,كم سنة دام حكم الدولة العثمانية؟,600 سنة تقريباً,صعب,15,400 سنة | 500 سنة | 600 سنة تقريباً | 700 سنة
q_history_59,history,من هو آخر خلفاء الدولة العباسية؟,المستعصم بالله,صعب,15,المستنصر بالله | المستعصم بالله | الظاهر بأمر الله | المستكفي بالله
q_history_60,history,في أي عام وقعت نكبة فلسطين؟,1948,متوسط,10,1946 | 1947 | 1948 | 1949
q_geography_61,geography,ما هي عاصمة المغرب؟,الرباط,متوسط,10,الدار البيضاء | الرباط | فاس | مراكش
q_geography_62,geography,كم عدد محافظات الكويت؟,6 محافظات,متوسط,10,4 محافظات | 5 محافظات | 6 محافظات | 7 محافظات
q_geography_63,geography,أين يقع جبل طويق؟,السعودية,متوسط,10,الأردن | السعودية | عُمان | اليمن
